Pregunta,RespuestaA,RespuestaB,RespuestaC,RespuestaD,RespuestaCorrecta,Pista,Dificultad
¿Cuál es el animal más grande del mundo?,Elefante,Ballena Azul,Jirafa,Oso Polar,Ballena Azul,Vive en el océano y es gigantesco.,Facil
¿Quién pintó la Mona Lisa?,Van Gogh,Picasso,Leonardo da Vinci,Monet,Leonardo da Vinci,Famoso inventor y artista renacentista.,Facil
¿Cuál es la primera película animada de Disney?,La Cenicienta,Blancanieves y los Siete Enanitos,Pinocho,Dumbo,Blancanieves y los Siete Enanitos,Fue un gran hito en la animación y presenta a una princesa que huye de una madrastra.,Facil
¿Quién es conocido como el Rey del Pop?,Elvis Presley,Prince,Michael Jackson,Madonna,Michael Jackson,Famoso por su 'Moonwalk' y canciones como 'Thriller'.,Facil
¿Qué animal tiene el corazón más grande en proporción a su cuerpo?,Ratón,Colibrí,Ballena azul,Camaleón,Colibrí,Este pequeño ave necesita mucha energía para volar en el mismo lugar.,Facil
¿Qué país ganó la Copa Mundial de Fútbol en 2022?,Brasil,Francia,Argentina,Alemania,Argentina,Su capitán es Lionel Messi.,Facil
¿Cuántos colores tiene el arcoíris?,5,6,7,8,7,Recuerda la canción de los colores.,Facil
¿Qué país tiene más castillos por kilómetro cuadrado que cualquier otro?,Austria,Escocia,Gales,Alemania,Gales,Tiene más de 600 castillos en un área pequeña.,Facil
¿Cuál fue el primer satélite artificial lanzado al espacio?,Sputnik 1,Apollo 11,Explorer 1,Vostok 1,Sputnik 1,Fue lanzado por la Unión Soviética en 1957.,Facil
¿Cuál es el animal que pone los huevos más grandes?,Gallina,Avestruz,Pato,Emú,Avestruz,Es el ave más grande.,Facil
¿Qué animal tiene una lengua más larga que su cuerpo?,Serpiente,Rana,Camaleón,Hormiga,Camaleón,La usa para atrapar insectos.,Facil
¿Qué animal es símbolo de sabiduría?,León,Zorro,Búho,Cisne,Búho,Se asocia con la inteligencia en cuentos y mitología.,Facil
¿En qué país se originaron los Juegos Olímpicos?,Italia,Egipto,Grecia,Rusia,Grecia,Fueron creados en la antigüedad.,Facil
¿Qué color se forma al mezclar rojo y azul?,Verde,Amarillo,Naranja,Violeta,Violeta,Es un color secundario.,Facil
¿Qué animal representa a Gryffindor en Harry Potter?,Águila,León,Serpiente,Tejón,León,Es símbolo de valentía.,Facil
¿Cuántos segundos hay en un minuto y medio?,60,90,120,150,90,Un minuto y medio son 60+30,Facil
¿Qué inventó Thomas Edison?,Teléfono,Bombilla,Rayo láser,Motor,Bombilla,No inventó el teléfono,Facil
¿Cuál es el nombre del martillo de Thor?,Stormbreaker,Mjölnir,Gungnir,Excalibur,Mjölnir,Sólo él puede levantarlo.,Facil
¿Quién fue el primer presidente de Estados Unidos?,Lincoln,Jefferson,Washington,Roosevelt,Washington,Su cara aparece en el billete de 1 dólar.,Facil
¿Qué empresa desarrolló el videojuego Minecraft?,Nintendo,Sony,Mojang,Ubisoft,Mojang,Es un juego de construcción en bloques.,Facil
¿Quién pintó La noche estrellada?,Monet,Van Gogh,Picasso,Leonardo da Vinci,Van Gogh,El pintor era holandés y tenía una oreja cortada.,Facil
¿Cuál es el idioma más hablado del mundo?,Español,Inglés,Chino mandarín,Árabe,Chino mandarín,Lo hablan más de mil millones de personas.,Facil
¿Qué superhéroe viene de Krypton?,Batman,Flash,Superman,Iron Man,Superman,Su debilidad es la kryptonita,Facil
